,uarch,uarch_lower,variant,description,details,total_area_estimate
19,CV32E40PXISAACV19,cv32e40pxisaacv19,V19,all:19,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
20,CV32E40PXISAACV20,cv32e40pxisaacv20,V20,all:20,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
21,CV32E40PXISAACV21,cv32e40pxisaacv21,V21,all:21,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
22,CV32E40PXISAACV22,cv32e40pxisaacv22,V22,all:22,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
23,CV32E40PXISAACV23,cv32e40pxisaacv23,V23,all:23,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
24,CV32E40PXISAACV24,cv32e40pxisaacv24,V24,all:24,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
25,CV32E40PXISAACV25,cv32e40pxisaacv25,V25,all:25,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
26,CV32E40PXISAACV26,cv32e40pxisaacv26,V26,all:26,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
27,CV32E40PXISAACV27,cv32e40pxisaacv27,V27,all:27,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
28,CV32E40PXISAACV28,cv32e40pxisaacv28,V28,all:28,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
29,CV32E40PXISAACV29,cv32e40pxisaacv29,V29,all:29,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
30,CV32E40PXISAACV30,cv32e40pxisaacv30,V30,all:30,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
31,CV32E40PXISAACV31,cv32e40pxisaacv31,V31,all:31,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
32,CV32E40PXISAACV32,cv32e40pxisaacv32,V32,all:32,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
33,CV32E40PXISAACV33,cv32e40pxisaacv33,V33,all:33,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
34,CV32E40PXISAACV34,cv32e40pxisaacv34,V34,all:34,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
35,CV32E40PXISAACV35,cv32e40pxisaacv35,V35,all:35,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
36,CV32E40PXISAACV36,cv32e40pxisaacv36,V36,all:36,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
37,CV32E40PXISAACV37,cv32e40pxisaacv37,V37,all:37,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
38,CV32E40PXISAACV38,cv32e40pxisaacv38,V38,all:38,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
39,CV32E40PXISAACV39,cv32e40pxisaacv39,V39,all:39,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
40,CV32E40PXISAACV40,cv32e40pxisaacv40,V40,all:40,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
41,CV32E40PXISAACV41,cv32e40pxisaacv41,V41,all:41,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
42,CV32E40PXISAACV42,cv32e40pxisaacv42,V42,all:42,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
43,CV32E40PXISAACV43,cv32e40pxisaacv43,V43,all:43,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
44,CV32E40PXISAACV44,cv32e40pxisaacv44,V44,all:44,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
45,CV32E40PXISAACV45,cv32e40pxisaacv45,V45,all:45,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
46,CV32E40PXISAACV46,cv32e40pxisaacv46,V46,all:46,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
47,CV32E40PXISAACV47,cv32e40pxisaacv47,V47,all:47,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
48,CV32E40PXISAACV48,cv32e40pxisaacv48,V48,all:48,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
49,CV32E40PXISAACV49,cv32e40pxisaacv49,V49,all:49,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
50,CV32E40PXISAACV50,cv32e40pxisaacv50,V50,all:50,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
51,CV32E40PXISAACV51,cv32e40pxisaacv51,V51,all:51,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
52,CV32E40PXISAACV52,cv32e40pxisaacv52,V52,all:52,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
53,CV32E40PXISAACV53,cv32e40pxisaacv53,V53,all:53,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
54,CV32E40PXISAACV54,cv32e40pxisaacv54,V54,all:54,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
55,CV32E40PXISAACV55,cv32e40pxisaacv55,V55,all:55,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
56,CV32E40PXISAACV56,cv32e40pxisaacv56,V56,all:56,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
57,CV32E40PXISAACV57,cv32e40pxisaacv57,V57,all:57,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
58,CV32E40PXISAACV58,cv32e40pxisaacv58,V58,all:58,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
59,CV32E40PXISAACV59,cv32e40pxisaacv59,V59,all:59,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
60,CV32E40PXISAACV60,cv32e40pxisaacv60,V60,all:60,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
61,CV32E40PXISAACV61,cv32e40pxisaacv61,V61,all:61,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
62,CV32E40PXISAACV62,cv32e40pxisaacv62,V62,all:62,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
63,CV32E40PXISAACV63,cv32e40pxisaacv63,V63,all:63,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
64,CV32E40PXISAACV64,cv32e40pxisaacv64,V64,all:64,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
65,CV32E40PXISAACV65,cv32e40pxisaacv65,V65,all:65,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
66,CV32E40PXISAACV66,cv32e40pxisaacv66,V66,all:66,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
67,CV32E40PXISAACV67,cv32e40pxisaacv67,V67,all:67,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
68,CV32E40PXISAACV68,cv32e40pxisaacv68,V68,all:68,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
