instruction,mask,tags,schedule,latency,locs
CUSTOM15,0000111----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM18,0001000----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM22,01---------------100-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM23,0001001----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM24,0001010----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM26,11---------------100-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM28,01---------------101-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM29,0001011----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM30,000110000000-----000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM32,11---------------101-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM34,0001110----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM35,0001111----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM37,01---------------110-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
,,,,,807.0
